name,description,location,difficulty,distance,elevation,trail_type,features,dog_friendly,permits_required,best_season,water_sources,parking_info,number_of_days,number_of_nights,camping_style,water_availability,status,featured,created_by,address,city,state,country,postal_code,latitude,longitude
Desolation Wilderness Loop,"Classic multi-day loop through Desolation Wilderness visiting pristine alpine lakes, granite peaks, and dramatic High Sierra scenery. One of the most iconic backpacking routes in the Lake Tahoe region.",Lake Tahoe,hard,28.0,4500,loop,"alpine lake,summit views,wildflowers,granite",false,"Desolation Wilderness overnight permit required. Quota system in effect June 15 – Sept 15. Reserve at Recreation.gov",summer|fall,true,"Echo Lake trailhead parking on Johnson Pass Road. Day-use fee. Large lot fills quickly in summer.",3,2,designated_sites,"Numerous lakes and streams throughout the route. Water treatment required. Echo Lake, Aloha Lake, and Pyramid Lake are reliable sources.",approved,true,,Johnson Pass Road,South Lake Tahoe,CA,USA,96150,38.8330,-120.0370
Granite Chief Wilderness Traverse,"Remote multi-day route through the rarely-visited Granite Chief Wilderness north of Lake Tahoe. Rugged terrain with outstanding views and near-complete solitude.",Lake Tahoe,hard,22.0,3800,point_to_point,"summit views,wildflowers,alpine wilderness",false,"Granite Chief Wilderness permit required (free, self-issue at trailhead)",summer|fall,true,"Squaw Valley base area for start. Shuttle to Barker Pass trailhead for end. Parking at both ends.",2,1,dispersed,"Galena Creek and seasonal alpine streams. Dry by mid-August in some years—carry extra water.",approved,false,,Olympic Valley Road,Olympic Valley,CA,USA,96146,39.1960,-120.2350
Tahoe Rim Trail - Tahoe City to Echo Summit,"Five-day segment of the Tahoe Rim Trail on the western shore offering constant lake views, meadow crossings, and high ridge walking. Accessible via multiple trailheads for shorter versions.",Lake Tahoe,moderate,49.0,6200,point_to_point,"lake views,meadows,wildflowers,granite",true,,summer|fall,true,"Tahoe City Trailhead at 64 Acres Park. End at Echo Summit on Hwy 50. Shuttle required.",5,4,designated_sites,"Reliable sources at major lakes and meadow crossings. Springs may dry up late summer—check current conditions.",approved,true,,64 Acres Park,Tahoe City,CA,USA,96145,39.1660,-120.1490
American River Gorge Backpack,"Two-day adventure descending into the steep American River canyon through gold rush country. Camp riverside amid dramatic canyon walls and enjoy swimming holes.",Auburn,moderate,14.0,2200,out_and_back,"river access,swimming,canyon views,gold rush history",false,,spring|fall,true,"Auburn SRA trailhead off Hwy 49 near Auburn. Day-use parking fee. Multiple access points.",2,1,dispersed,"North Fork American River runs year-round. Treat all water before drinking.",approved,false,,,Auburn,CA,USA,95602,38.9000,-121.0500
Crystal Basin High Route,"Remote three-day traverse through the Crystal Basin linking Wrights Lake, Twin Lakes, and Loon Lake. Spectacular granite and lake scenery with excellent fishing.",Crystal Basin,hard,31.0,4200,point_to_point,"alpine lake,fishing,granite,wildflowers",false,"El Dorado National Forest permit required for overnight camping in designated wilderness zones",summer|fall,true,"Wrights Lake Campground trailhead. Shuttle to Loon Lake trailhead recommended.",3,2,dispersed,"Abundant lakes and streams throughout route. All water requires treatment.",approved,false,,Wrights Lake Road,Pollock Pines,CA,USA,95726,38.8400,-120.2300
Mount Rose Wilderness Circuit,"Two-day loop from Mount Rose Summit through the Mount Rose Wilderness with sweeping views of Lake Tahoe, Reno, and the Great Basin. Best wildflower display in early summer.",Lake Tahoe,hard,18.0,3100,loop,"summit views,wildflowers,alpine wilderness",false,"Toiyabe National Forest overnight permit required July 4th weekend and holidays",summer|fall,true,"Mount Rose Summit trailhead on Hwy 431. Large free parking lot. Can fill on summer weekends.",2,1,dispersed,"Galena Creek and seasonal alpine streams. Dry by mid-August in some years—carry extra water.",approved,false,,Mt Rose Highway,Incline Village,NV,USA,89451,39.3000,-119.9000
Meiss Country Overnight,"Mellow introduction to backpacking in the scenic Meiss Country roadless area south of Lake Tahoe. Rolling meadows, a historic cabin, and stunning views toward the lake.",Lake Tahoe,easy,12.0,800,loop,"meadows,wildflowers,family friendly,lake views",true,"Meiss Country Roadless Area permit not required but Leave No Trace ethics enforced",summer|fall,true,"Carson Pass trailhead on Hwy 88. Large free parking area. Popular—arrive early on weekends.",2,1,dispersed,"Meiss Lake and Upper Truckee River headwaters. Seasonal—treat all water.",approved,false,,Highway 88,Markleeville,CA,USA,96120,38.6940,-119.9870
Rubicon-Rockbound Wilderness Loop,"Challenging four-day loop linking the Desolation Wilderness and the Rockbound Valley via the famous Rubicon River canyon. A demanding but extraordinarily beautiful route.",Lake Tahoe,hard,38.0,5800,loop,"alpine lake,river canyon,wildflowers,granite",false,"Desolation Wilderness overnight permit required. Self-issue quota trail heads—check Recreation.gov",summer|fall,true,"Loon Lake trailhead in Crystal Basin. Day-use fee. Parking lot fills fast in peak season.",4,3,designated_sites,"Rubicon River and dozens of lakes throughout. Reliable water all season but always treat.",approved,true,,Loon Lake Road,Pollock Pines,CA,USA,95726,38.9900,-120.3100
North Fork American River Canyon Loop,"Spectacular three-day loop exploring the deepest canyons of the American River drainage. Remote, rugged, and rewarding with old-growth forest and dramatic river crossings.",Foresthill,hard,24.0,4600,loop,"river access,canyon views,old growth forest,swimming",false,,spring|fall,true,"Foresthill Divide trailhead. Limited parking on road shoulder. Arrive early to ensure a spot.",3,2,dispersed,"North Fork American River runs strong spring through fall. Side creeks dry up by August.",approved,false,,,Foresthill,CA,USA,95631,39.0200,-120.7500
Tamarack Lakes Backpack,"Beginner-friendly overnight trip to the beautiful Tamarack Lakes basin in El Dorado National Forest. Perfect first backpack for scouts with straightforward trail and gorgeous alpine setting.",Soda Springs,moderate,9.0,1400,out_and_back,"alpine lake,wildflowers,family friendly,granite",true,"No permit required. Camping setback 100 ft from water per LNT guidelines.",summer|fall,true,"Tamarack trailhead on Ice House Road off I-80. Small dirt pullout, 10-12 cars max.",2,1,designated_sites,"Tamarack Lakes are reliable all season. Upper lake dries to a trickle by September.",approved,false,,,Soda Springs,CA,USA,95728,39.3400,-120.3700
Bear Lake to Wentworth Springs,"Two-day moderate route connecting Bear Lake to historic Wentworth Springs cabin site through forested Crystal Basin terrain. Great for intermediate backpackers building distance.",Crystal Basin,moderate,16.0,1800,point_to_point,"forest,lake views,historic site,wildlife",true,,summer|fall,true,"Bear Lake trailhead off Ice House Rd. Small gravel lot. Shuttle to Wentworth Springs Rd recommended.",2,1,dispersed,"Bear Lake outlet stream and seasonal creeks along route. Treat all sources.",approved,false,,,Pollock Pines,CA,USA,95726,38.9200,-120.2700
Desolation Valley Alpine Lakes Tour,"Three-day highlight reel of Desolation Wilderness linking Aloha Lake, Lake of the Woods, Heather Lake, and Fallen Leaf Lake. The ultimate Tahoe backpacking experience.",Lake Tahoe,moderate,22.0,2800,point_to_point,"alpine lake,wildflowers,granite,lake views",false,"Desolation Wilderness overnight permit required. Quota enforced June 15 – Sept 15.",summer|fall,true,"Start at Echo Lake trailhead (Johnson Pass Rd). Finish at Fallen Leaf Lake trailhead. Shuttle required.",3,2,designated_sites,"Lakes throughout route provide reliable water all season. Treat before drinking.",approved,true,,Johnson Pass Road,South Lake Tahoe,CA,USA,96150,38.8330,-120.0370
